Date,sap_daily
19/03/2022,0.673969482
20/03/2022,0.912181155
21/03/2022,0.998455265
22/03/2022,1.167068191
23/03/2022,1.079974686
24/03/2022,1.016307825
25/03/2022,0.880893176
26/03/2022,0.743719687
27/03/2022,0.762579303
28/03/2022,0.855431056
29/03/2022,1.073397376
30/03/2022,0.34730521
31/03/2022,0.249107389
01/04/2022,0.516403108
02/04/2022,1.072521475
03/04/2022,0.331883274
04/04/2022,0.391795581
05/04/2022,0.247337772
06/04/2022,0.394990582
07/04/2022,0.772640929
08/04/2022,0.671150653
09/04/2022,1.383102251
10/04/2022,1.635631471
11/04/2022,0.870513461
12/04/2022,1.598100685
13/04/2022,2.448541289
14/04/2022,2.541653068
15/04/2022,1.832881398
16/04/2022,1.75196642
17/04/2022,1.602023057
18/04/2022,1.920986438
19/04/2022,2.163061686
20/04/2022,2.408523127
21/04/2022,2.514678979
22/04/2022,2.393059907
23/04/2022,2.537267013
24/04/2022,1.667139424
25/04/2022,0.924306915
26/04/2022,0.597482277
27/04/2022,1.906279402
28/04/2022,2.741383266
29/04/2022,3.201678035
30/04/2022,0.312970557
01/05/2022,1.792154085
02/05/2022,2.470666408
03/05/2022,1.875148865
04/05/2022,1.943543656
05/05/2022,2.484918725
06/05/2022,0.786641976
07/05/2022,0.674814894
08/05/2022,1.903255455
09/05/2022,2.476633274
10/05/2022,3.49217165
11/05/2022,3.390914116
12/05/2022,3.510068752
13/05/2022,3.010437616
14/05/2022,3.481049156
15/05/2022,3.807932663
16/05/2022,0.978955273
17/05/2022,3.127770206
18/05/2022,3.66630272
19/05/2022,3.216246111
20/05/2022,3.506484493
21/05/2022,2.937625505
22/05/2022,3.308807243
23/05/2022,3.063639201
24/05/2022,0.415994624
25/05/2022,1.044721889
26/05/2022,2.835645074
27/05/2022,3.175104463
28/05/2022,2.457377582
29/05/2022,1.12006881
30/05/2022,0.944294329
31/05/2022,2.794277344
01/06/2022,2.049189432
02/06/2022,2.573029501
03/06/2022,2.002303832
04/06/2022,2.913524998
05/06/2022,2.597624686
06/06/2022,2.656473432
07/06/2022,0.823124171
08/06/2022,2.78088452
09/06/2022,1.408166054
10/06/2022,2.577830129
11/06/2022,3.346647425
12/06/2022,3.353892328
13/06/2022,1.557983545
14/06/2022,3.558110737
15/06/2022,3.414170501
16/06/2022,2.524760245
17/06/2022,3.530499623
18/06/2022,3.578239634
19/06/2022,3.677229378
20/06/2022,3.458663386
21/06/2022,3.020053504
22/06/2022,0.437730969
23/06/2022,3.136142278
24/06/2022,1.724570216
25/06/2022,3.449908901
26/06/2022,3.858602174
27/06/2022,3.607945104
28/06/2022,0.379428113
29/06/2022,2.680567313
30/06/2022,3.764911788
01/07/2022,0.739460086
02/07/2022,3.613389182
03/07/2022,3.810243189
04/07/2022,1.393066576
05/07/2022,2.382074526
06/07/2022,3.910546487
07/07/2022,3.002232486
08/07/2022,3.009874246
09/07/2022,3.763467592
10/07/2022,3.024318898
11/07/2022,3.54954404
12/07/2022,3.788805538
13/07/2022,3.802898976
14/07/2022,3.688876724
15/07/2022,3.533734592
16/07/2022,3.773061031
17/07/2022,3.706824073
18/07/2022,3.755527846
19/07/2022,3.638848336
20/07/2022,2.941687136
21/07/2022,2.688825629
22/07/2022,3.50655146
23/07/2022,2.195398427
24/07/2022,3.194940005
25/07/2022,3.18939939
26/07/2022,2.014954108
27/07/2022,3.33674443
28/07/2022,3.760455789
29/07/2022,1.980704365
30/07/2022,1.69089879
31/07/2022,3.196521927
01/08/2022,3.580984077
02/08/2022,2.980037354
03/08/2022,3.427114578
04/08/2022,3.729842481
05/08/2022,2.832697335
06/08/2022,1.191274951
07/08/2022,2.627018308
08/08/2022,3.493543043
09/08/2022,3.778060491
10/08/2022,3.622738187
11/08/2022,3.670875405
12/08/2022,3.540569037
13/08/2022,3.532034185
14/08/2022,3.621904344
15/08/2022,2.746266616
16/08/2022,3.183527875
17/08/2022,3.152978905
18/08/2022,0.945893967
19/08/2022,0.353147682
20/08/2022,1.458857604
21/08/2022,3.19033743
22/08/2022,3.359995672
23/08/2022,3.445314848
24/08/2022,3.483901246
25/08/2022,3.411556363
26/08/2022,3.346200439
27/08/2022,0.704436703
28/08/2022,2.908924303
29/08/2022,3.338970632
30/08/2022,3.428568013
31/08/2022,0.370089425
01/09/2022,2.529984123
02/09/2022,3.374246079
03/09/2022,0.291529215
04/09/2022,2.592506488
05/09/2022,3.127280934
06/09/2022,2.838039192
07/09/2022,2.664021861
08/09/2022,1.981720492
09/09/2022,1.963505237
10/09/2022,1.935222193
11/09/2022,2.270238039
12/09/2022,3.441809484
13/09/2022,3.09267074
14/09/2022,2.523617081
15/09/2022,1.895254125
16/09/2022,1.235391571
17/09/2022,0.857929066
18/09/2022,1.371118231
19/09/2022,1.737978741
20/09/2022,2.01576673
21/09/2022,2.370808856
22/09/2022,2.279872282
23/09/2022,2.488852032
24/09/2022,0.376076751
25/09/2022,0.780124152
26/09/2022,0.940803845
27/09/2022,0.589932862
28/09/2022,0.356140234
29/09/2022,0.255356247
30/09/2022,0.241310479
01/10/2022,0.226432824
02/10/2022,1.431581565
03/10/2022,0.707261012
04/10/2022,2.451665315
05/10/2022,2.644547525
06/10/2022,1.787784688
07/10/2022,2.022304714
08/10/2022,1.237949447
09/10/2022,0.232638085
10/10/2022,0.780817875
11/10/2022,1.571736543
12/10/2022,1.616616106
13/10/2022,1.433607871
14/10/2022,0.595734092
15/10/2022,1.102895956
16/10/2022,2.019391092
17/10/2022,1.63285606
18/10/2022,1.455435294
19/10/2022,1.572965647
20/10/2022,1.54861336
21/10/2022,0.843380502
22/10/2022,0.450965363
23/10/2022,0.392672083
24/10/2022,0.363055619
25/10/2022,0.439664623
26/10/2022,0.51233076
27/10/2022,1.741378089
28/10/2022,1.599805673
29/10/2022,1.535655286
30/10/2022,1.510530551
31/10/2022,1.478429157
01/11/2022,0.953268664
02/11/2022,0.557627375
03/11/2022,0.495146032
04/11/2022,0.390541386
05/11/2022,0.29276926
06/11/2022,0.755901751
07/11/2022,0.415553434
08/11/2022,0.811286401
09/11/2022,0.464945647
10/11/2022,0.312499441
11/11/2022,0.891437744
